,Date,Pptn,PET,S,G,ET,streamflow_mm
323,2006-12-31,0.0,187.91224260468755,296.26106350396265,811.4330276161113,55.95497062895447,7.854392667869588
324,2007-01-31,3.04859987779329,220.78121037187495,263.17557989140994,719.2079400503508,39.418258122168474,5.448774344481119
325,2007-02-28,70.1983177849743,211.44345350625,262.02442319052557,677.7799071357364,54.15529450401664,7.707567616475239
326,2007-03-31,19.81159394814389,305.8760329453125,235.69321238610053,640.3637175201087,38.95806701621041,4.007436772748405
327,2007-04-30,46.31070103164584,337.544935171875,219.62065092722568,589.7043182796901,31.90003568306565,2.970092366868577
328,2007-05-31,109.03828893820791,323.2934405859375,226.11389443182173,572.4412660496207,60.14086646027864,3.248093092149527
329,2007-06-30,257.41094123001017,244.905366796875,232.0848698086208,559.8959519704184,66.01184397004545,15.352737078046975
330,2007-07-31,506.9443333369902,133.16728786171876,293.6646946937807,678.649866083617,83.36569187231362,227.52151506208813
331,2007-08-31,474.05380801734015,110.89249981171874,339.2356988640242,829.9539384739372,78.9343131473288,309.2070791948554
332,2007-09-30,432.6384127560042,111.705402796875,388.04338077969015,980.4125730726456,82.52296946011484,256.9120427972764
333,2007-10-31,29.40412360702411,142.51879787343745,401.2924235354188,1012.3564177482358,87.10333944763987,102.03802813063032
334,2007-11-30,65.03045382357892,168.80660212499996,343.33422296312114,928.1300905015736,74.86479333601892,40.21511244749005
335,2007-12-31,0.0,193.94580549375,298.7193228608818,818.0052322059547,53.643595555331565,11.017460798145807
336,2008-01-31,61.11353590837479,196.9740034875,269.17661789924875,724.6112823486328,44.10404521040617,8.412287992142618
337,2008-02-29,3.2876618618467752,218.7996664921875,256.8456387574645,680.1757150408865,44.23586258199065,6.315072050976899
338,2008-03-31,14.293343828964256,295.180382671875,230.4649016472601,629.1079951460641,25.89333457290195,3.420435599862241
339,2008-04-30,44.53735109794189,344.82881334375,223.07994634840225,585.3199562920466,44.31149899028241,6.809572444708987
